serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
1457,RG0304A,RG0304A,RINGS,ENGAGEMENT:WEDDING,PREMIUM,Daily Dazzle:Sensuous Solitaires,,0,0,18KT YELLOW GOLD,4.14,4,8296,3400,ROUND,SI,GH,15,0.7,65180,83580,,,0,0,0,769,77645,953,96229,13
1458,RG0305A,RG0305A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,5.41,5.39,11179,4582,ROUND,SI,GH,8,0.1,7000,10300,,,0,0,0,228,22989,261,26322,21
1459,RG0306A,RG0306A,RINGS,ENGAGEMENT:WEDDING,CLASSIC,Daily Dazzle,,0,0,18KT YELLOW GOLD,4.022,4,8296,3400,ROUND,SI,GH,1,0.11,8140,11550,,,0,0,0,198,20034,232,23478,13
1460,RG0307A,RG0307A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,5.546,5.5,11408,4675,ROUND,SI,GH,9,0.23,16100,23690,,,0,0,0,322,32505,398,40171,20
1461,RG0308A,RG0308A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,9.582,9.5,19704,7125,ROUND,SI,GH,32,0.41,28700,42230,,,0,0,0,555,56084,691,69750,20
1462,RG0309A,RG0309A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,5.93,5.838,12109,4962,ROUND,SI,GH,9,0.46,32200,47380,,,0,0,0,493,49764,645,65096,20
1463,RG0310A,RG0310A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,4.1,4.086,8475,3473,ROUND,SI,GH,9,0.07,4900,7210,,,0,0,0,168,17016,192,19350,18
1464,RG0311A,RG0311A,RINGS,BAND:EGAGEMENT:WEDDING,EXCLUSIVE,Men's Collection,,0,0,18KT YELLOW GOLD,10.614,10.5,21778,7875,ROUND,SI,GH,27,0.57,39900,58710,,,0,0,0,696,70249,884,89247,20
1465,RG0312A,RG0312A,RINGS,BAND:EGAGEMENT:WEDDING,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,4.21,4.16,8628,3536,ROUND,SI,GH,1,0.25,28750,33750,,,0,0,0,409,41323,459,46373,21
1466,RG0313A,RG0313A,RINGS,CLASSICS,CLASSIC,Men's Collection,,0,0,18KT YELLOW GOLD,4.46,4.442,9213,3776,ROUND,SI,GH,6,0.09,6300,9270,,,0,0,0,193,19482,223,22482,18
1,RG0315A,RG0315A,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,0,0,18KT YELLOW GOLD,7.112,6.9,14311,5865,ROUND,SI,GH,26,1.06,74200,109180,,,0,0,0,944,95320,1294,130650,13
2,RG0316A,RG0316A,RINGS,COCKTAIL,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,0,0,18KT YELLOW GOLD,5.78,5.5,11408,4675,ROUND,SI,GH,31,1.4,98000,144200,,,0,0,0,1141,115224,1603,161886,13
3,RG0318A,RG0318A,RINGS,CLASSICS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,0,0,18KT PINK GOLD,5.212,5.1,10578,4335,ROUND,SI,GH,43,0.56,39200,57680,,,0,0,0,541,54654,726,73319,13
4,RG0320A,RG0320A,RINGS,WEDDING:ENGAGEMENT,PREMIUM,Candid Celebrations:Daily Dazzle:Sensuous Solitaires,,0,0,18KT PINK GOLD,3.284,3.2,6637,2720,ROUND,SI,GH,12,0.42,40650,51260,,,0,0,0,500,50507,606,61223,12
5,RG0321A,RG0321A,RINGS,WEDDING:ENGAGEMENT,PREMIUM,Candid Celebrations:Daily Dazzle:Sensuous Solitaires,,0,0,18KT PINK GOLD,2.678,2.6,5393,2470,ROUND,SI,GH,15,0.39,38550,48170,,,0,0,0,464,46877,560,56593,12
6,RG0322A,RG0322A,RINGS,WEDDING:ENGAGEMENT,PREMIUM,Candid Celebrations:Daily Dazzle:Sensuous Solitaires,,0,0,18KT WHITE GOLD,2.678,2.6,5393,2470,ROUND,SI,GH,15,0.39,38550,48170,,,0,0,0,464,46877,560,56593,12
7,RG0323A,RG0323A,RINGS,WEDDING:ENGAGEMENT,PREMIUM,Candid Celebrations:Daily Dazzle:Sensuous Solitaires,,0,0,18KT WHITE GOLD,3.584,3.5,7259,2975,ROUND,SI,GH,18,0.42,40650,51260,,,0,0,0,509,51393,615,62109,12
8,RG0324A,RG0324A,RINGS,WEDDING:ENGAGEMENT,PREMIUM,Candid Celebrations:Daily Dazzle:Sensuous Solitaires,,0,0,18KT YELLOW GOLD,3.064,3,6222,2850,ROUND,SI,GH,15,0.32,33650,40960,,,0,0,0,427,43149,500,50532,12
9,RG0326A,RG0326A,RINGS,COCKTAIL,PREMIUM,Romancing Rocks:Candid Celebrations,,0,0,18KT YELLOW GOLD,5.521,5.199,10783,4419,ROUND,SI,GH,24,0.5,35000,51500,EMERALD,OVAL,1,1.11,14985,652,65839,817,82504,13
