serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
913,ER1553A,ER1553A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.2,7.7,18KT YELLOW GOLD,4.34,4.246,8807,3609,ROUND,SI,GH,46,0.47,32900,48410,,,0,0,0,453,45769,608,61434,
914,ER1553B,ER1553B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.2,7.7,18KT PINK GOLD,4.34,4.246,8807,3609,ROUND,SI,GH,46,0.47,32900,48410,,,0,0,0,453,45769,608,61434,
915,ER1554A,ER1554A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,19.13,8.24,18KT YELLOW GOLD,4.17,4.098,8500,3483,ROUND,SI,GH,38,0.36,25200,37080,,,0,0,0,372,37555,491,49554,
916,ER1554B,ER1554B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,19.13,8.24,18KT PINK GOLD,4.17,4.098,8500,3483,ROUND,SI,GH,38,0.36,25200,37080,,,0,0,0,372,37555,491,49554,
917,ER1555A,ER1555A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,23.02,11.16,18KT YELLOW GOLD,4.95,4.85,10059,4122,ROUND,SI,GH,46,0.5,35000,51500,,,0,0,0,492,49673,657,66338,
918,ER1555B,ER1555B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,23.02,11.16,18KT PINK GOLD,4.95,4.85,10059,4122,ROUND,SI,GH,46,0.5,35000,51500,,,0,0,0,492,49673,657,66338,
919,ER1556A,ER1556A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,19.79,6.86,18KT YELLOW GOLD,3.63,3.542,7346,3011,ROUND,SI,GH,44,0.44,30800,45320,,,0,0,0,412,41569,557,56234,
920,ER1557A,ER1557A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,23.73,10.84,18KT YELLOW GOLD,4.35,4.284,8885,3641,ROUND,SI,GH,26,0.33,23100,33990,,,0,0,0,356,35982,465,46981,
921,ER1557B,ER1557B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,23.73,10.84,18KT PINK GOLD,4.35,4.284,8885,3641,ROUND,SI,GH,26,0.33,23100,33990,,,0,0,0,356,35982,465,46981,
922,ER1558A,ER1558A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,23.53,7.86,18KT YELLOW GOLD,4.69,4.586,9512,3898,ROUND,SI,GH,44,0.52,36400,53560,,,0,0,0,498,50308,670,67640,
923,ER1558B,ER1558B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,23.53,7.86,18KT PINK GOLD,4.69,4.586,9512,3898,ROUND,SI,GH,44,0.52,36400,53560,,,0,0,0,498,50308,670,67640,
924,ER1559A,ER1559A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,17.91,8.97,18KT YELLOW GOLD,4.65,4.526,9387,3847,ROUND,SI,GH,60,0.62,43400,63860,,,0,0,0,566,57200,771,77865,
925,ER1560A,ER1560A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Irresistible Illusions:Glitz & Gold:Symmetric Splendour,,20.46,10.61,18KT YELLOW GOLD,4.45,4.378,9080,3721,ROUND,SI,GH,36,0.36,25200,37080,,,0,0,0,380,38381,499,50380,
926,PD1521A,PD1521A,PENDANTS,FLORAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,41.05,23.9,18KT PINK GOLD,5.98,5.89,12216,5006,ROUND,SI,GH,59,0.45,31500,46350,,,0,0,0,487,49209,636,64208,
927,ER1521A,ER1521A,EARRINGS,CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold:Floral Fantasy,,32.23,15.68,18KT PINK GOLD,6.61,6.516,13515,5539,ROUND,SI,GH,76,0.47,32900,48410,,,0,0,0,520,52474,675,68139,
928,PD1534A,PD1534A,PENDANTS,FASHION,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,45.8,22.05,18KT PINK GOLD,7.31,7.212,14958,5409,ROUND,SI,GH,70,0.49,34300,50470,,,0,0,0,547,55214,708,71545,
929,ER1534A,ER1534A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Floral Fantasy,,33.01,17.43,18KT PINK GOLD,9.22,9.106,18887,6830,ROUND,SI,GH,76,0.57,39900,58710,,,0,0,0,656,66273,844,85271,
930,PD1520A,PD1520A,PENDANTS,FLORAL:CASUAL,CLASSIC,Daily Dazzle:Glitz & Gold:Floral Fantasy,,29.38,12.2,18KT YELLOW GOLD,2.44,2.378,4932,2259,ROUND,SI,GH,43,0.31,21700,31930,,,0,0,0,289,29180,391,39512,
931,ER1520A,ER1520A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Floral Fantasy:Daily Dazzle,,21.03,9.98,18KT YELLOW GOLD,3.97,3.852,7989,3274,ROUND,SI,GH,50,0.59,41300,60770,,,0,0,0,526,53089,720,72753,
932,PD1280A,PD1280A,PENDANTS,FLORAL:CASUAL:OFFICE WEAR,CLASSIC,Daily Dazzle:Floral Fantasy:Romancing Rocks,,16.53,8.6,18KT YELLOW GOLD,1.28,1.146,2377,1089,ROUND,SI,GH,15,0.36,25200,37080,RHODOLITE,ROUND,1,0.31,930,296,29892,415,41891,
933,ER1280A,ER1280A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Floral Fantasy,,16.27,8.6,18KT YELLOW GOLD,4.73,4.458,9246,3789,ROUND,SI,GH,30,0.72,50400,74160,RHODOLITE,ROUND,2,0.64,1920,654,66009,891,90006,
934,PD1313A,PD1313A,PENDANTS,CASUAL,CLASSIC,Daily Dazzle:Glitz & Gold,,15.7,9.02,18KT YELLOW GOLD,1.38,1.314,2725,1248,ROUND,SI,GH,9,0.33,25480,35670,,,0,0,0,295,29748,396,40039,
935,ER1313A,ER1313A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle,,9.05,9.05,18KT YELLOW GOLD,3.09,2.958,6135,2810,ROUND,SI,GH,18,0.66,50790,71220,,,0,0,0,597,60332,802,80967,
936,PD1291A,PD1291A,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Daily Dazzle:Glitz & Gold:Romancing Rocks,,15.3,6.2,18KT YELLOW GOLD,2.24,2.026,4202,1925,ROUND,SI,GH,5,0.09,6300,9270,BLAZING RED TOPAZ,ROUND,1,0.98,1960,144,14531,174,17531,
937,ER1291A,ER1291A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Romancing Rocks,,15.31,6.2,18KT YELLOW GOLD,4.73,4.286,8890,3643,ROUND,SI,GH,10,0.17,11900,17510,BLAZING RED TOPAZ,ROUND,2,2.05,3075,275,27783,331,33449,
938,PD1532A,PD1532A,PENDANTS,FASHION,EXCLUSIVE,Candid Celebrations:Drops & Domes,,32.21,16.2,18KT YELLOW GOLD,4.11,3.312,6869,2815,ROUND,SI,GH,38,0.36,25200,37080,CREAM PEARL,ROUND,1,3.63,454,353,35691,472,47690,
939,ER1532A,ER1532A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,24.18,10.33,18KT YELLOW GOLD,5.09,4.416,9159,3754,ROUND,SI,GH,34,0.33,23100,33990,CREAM PEARL,ROUND,2,3.04,456,365,36834,474,47833,
940,PD1309A,PD1309A,PENDANTS,FASHION,EXCLUSIVE,Daily Dazzle:Glitz & Gold,,25,12.5,18KT YELLOW GOLD,3.1,3.05,6326,2592,ROUND,SI,GH,28,0.25,17500,25750,,,0,0,0,264,26682,347,35015,
941,ER1309A,ER1309A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Glitz & Gold,,25,12.5,18KT YELLOW GOLD,6.19,6.096,12644,5182,ROUND,SI,GH,56,0.47,32900,48410,,,0,0,0,507,51233,662,66898,
942,NE0022A,NE0022A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,30.66,13.77,18KT YELLOW GOLD,7.95,6.366,13204,5411,ROUND,SI,GH,82,0.63,44100,64890,CREAM PEARL,ROUND,2,7.29,911,636,64262,844,85260,
943,NK0022A,NK0022A,NECKLACES,TRADITIONAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,0,0,18KT YELLOW GOLD,34.53,32.79,68009,24592,ROUND,SI,GH,179,1.55,108500,159650,CREAM PEARL,ROUND,1,7.15,894,2020,204015,2531,255676,
944,NE0014A,NE0014A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Glitz & Gold,,30,12.9,18KT YELLOW GOLD,6.73,6.632,13755,5637,ROUND,SI,GH,92,0.49,34300,50470,,,0,0,0,537,54229,699,70561,
945,NK0014A,NK0014A,NECKLACES,TRADITIONAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,0,0,18KT YELLOW GOLD,31.49,31.268,64853,23451,ROUND,SI,GH,215,1.11,77700,114330,,,0,0,0,1660,167664,2026,204660,
946,NE0016A,NE0016A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,25.17,11.45,18KT YELLOW GOLD,6.7,5.812,12055,4940,ROUND,SI,GH,46,0.5,35000,51500,"RAINFOREST GREEN TOPAZ,CREAM PEARL","OVAL,ROUND",4,3.94,3606,556,56157,721,72822,
947,NK0016A,NK0016A,NECKLACES,TRADITIONAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks,,0,0,18KT YELLOW GOLD,27.29,23.898,49567,17924,ROUND,SI,GH,209,1.21,84700,124630,"RAINFOREST GREEN TOPAZ,CREAM PEARL,CREAM PEARL","OVAL,ROUND,ROUND",4,15.75,4387,1566,158144,1965,198473,
948,NE0015A,NE0015A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,,22.28,10.92,18KT YELLOW GOLD,5.2,4.496,9325,3822,ROUND,SI,GH,74,0.49,34300,50470,CREAM PEARL,ROUND,2,3.03,454,479,48380,641,64712,
949,NK0015A,NK0015A,NECKLACES,TRADITIONAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,0,0,18KT YELLOW GOLD,20.59,19.59,40631,14692,ROUND,SI,GH,326,1.36,95200,140080,CREAM PEARL,ROUND,1,3.64,455,1510,152488,1959,197817,
950,NE0018A,NE0018A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Drops & Domes,,22.51,11,18KT YELLOW GOLD,5.26,4.552,9441,3869,ROUND,SI,GH,66,0.51,35700,52530,CREAM PEARL,ROUND,2,3.03,454,495,49959,663,66957,
951,NK0018A,NK0018A,NECKLACES,TRADITIONAL,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,0,0,18KT YELLOW GOLD,29.39,28.206,58502,21154,ROUND,SI,GH,304,2.27,158900,233810,CREAM PEARL,ROUND,1,3.65,456,2390,241402,3139,317061,
952,ER1020A,ER1020A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,16,2.5,18KT YELLOW GOLD,5.31,5.146,10673,4374,ROUND,SI,GH,94,0.48,33600,49440,SWAROVSKI RED,ROUND,60,0.34,3000,516,52163,675,68162,
953,ER1321A,ER1321A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,20.16,10.43,18KT YELLOW GOLD,6.7,4.416,9159,3754,ROUND,SI,GH,6,0.36,25200,37080,"BLUE TOPAZ,CITRINE","OCTAGON,OCTAGON",4,11.06,9954,481,48548,599,60546,
954,PD1282B,PD1282B,PENDANTS,OFFICE WEAR:CASUAL,EXCLUSIVE,Candid Celebrations:Daily Dazzle:Glitz & Gold:Romancing Rocks,,20.08,7.42,18KT YELLOW GOLD,2.21,2.082,4318,1978,ROUND,VVS,EF,8,0.11,7700,11330,BLAZING RED TOPAZ,OVAL,1,0.53,1855,159,16010,195,19676,
955,PD1246B,PD1246B,PENDANTS,FASHION,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks,,27,18,18KT YELLOW GOLD,4.42,4.228,8769,3594,ROUND,VVS,EF,49,0.33,23100,33990,"PINK CORAL,BLAZING RED TOPAZ","OVAL CABOCHON,PEAR",2,0.63,2115,376,37954,485,48953,
956,RG0008B,RG0008B,RINGS,CLASSICS,CLASSIC,Irresistible Illusions:Candid Celebrations:Daily Dazzle:Romancing Rocks,,27.3,0,18KT YELLOW GOLD,6.38,6.154,12764,5231,ROUND,VVS,EF,47,0.47,32900,48410,SWAROVSKI RED,ROUND,90,0.66,4500,554,55949,709,71614,13
957,PD1300B,PD1300B,PENDANTS,FASHION:OFFICE WEAR,CLASSIC,Candid Celebrations:Daily Dazzle:Glitz & Gold:Symmetric Splendour,,22,11,18KT PINK GOLD,1.85,1.8,3733,1710,ROUND,VVS,EF,40,0.25,17500,25750,,,0,0,0,229,23172,312,31505,
958,PD0079B,PD0079B,PENDANTS,FASHION:OFFICE WEAR,CLASSIC,Candid Celebrations:Daily Dazzle:Drops & Domes,,35.5,8,18KT YELLOW GOLD,1.98,1.224,2539,1163,ROUND,VVS,EF,4,0.12,8400,12360,BRIGHT GOLD PEARL,ROUND,1,3.66,458,126,12686,165,16685,
959,ER1058B,ER1058B,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,14,4.6,18KT WHITE GOLD,2.82,2.8,5807,2660,ROUND,VVS,EF,16,0.1,7000,10300,,,0,0,0,155,15622,188,18955,
960,PD0061B,PD0061B,PENDANTS,OFFICE WEAR:CASUAL,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,10.87,10,18KT WHITE GOLD,0.75,0.726,1506,690,ROUND,VVS,EF,20,0.12,8400,12360,,,0,0,0,106,10702,146,14702,
961,ER1372B,ER1372B,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Daily Dazzle:Romancing Rocks,,18.5,8.5,18KT YELLOW GOLD,8.91,8.684,18011,6513,ROUND,VVS,EF,104,0.6,42000,61800,SWAROVSKI RED,ROUND,70,0.53,3500,700,70724,898,90722,
962,ER0067B,ER0067B,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,9.1,21.69,18KT YELLOW GOLD,1.93,1.794,3721,1704,ROUND,VVS,EF,32,0.23,16100,23690,KASHMIR BLUE TOPAZ,OVAL,2,0.45,1575,231,23331,307,30997,
963,ER0062B,ER0062B,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,13.1,9,18KT PINK GOLD,2.23,2.194,4551,2084,ROUND,VVS,EF,40,0.18,12600,18540,,,0,0,0,192,19427,252,25427,
964,ER0061B,ER0061B,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Drops & Domes:Glitz & Gold:Symmetric Splendour,,19,10,18KT WHITE GOLD,2.4,2.35,4874,2232,ROUND,VVS,EF,40,0.25,17500,25750,,,0,0,0,246,24852,329,33185,
965,ER1091B,ER1091B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,35,22.35,18KT YELLOW GOLD,10.14,9.602,19915,7202,ROUND,VVS,EF,114,0.63,44100,64890,BLAZING RED TOPAZ,ROUND,2,2.06,3090,743,75050,951,96048,
966,ER1412B,ER1412B,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,35,13.5,18KT PINK GOLD,5.59,5.3,10993,4505,ROUND,SI,GH,108,0.63,44100,64890,AMETHYST,OVAL,2,0.82,2870,625,63093,833,84091,
967,ER1348B,ER1348B,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Black Beauty,,45.25,11.44,18KT PINK GOLD,13.07,11.99,24868,8992,ROUND,SI,GH,28,0.24,16800,24720,BLACK SPINEL,ROUND,404,5.16,20200,709,71569,788,79568,
968,ER1490A,ER1490A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Black Beauty,,23.9,23.1,18KT WHITE GOLD,6.66,6.466,13411,5496,ROUND,SI,GH,104,0.53,37100,54590,BLACK SPINEL,ROUND,78,0.44,3900,599,60506,774,78171,
969,ER1285A,ER1285A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle,,19.16,8.26,18KT YELLOW GOLD,6.2,4.684,9715,3981,ROUND,SI,GH,14,0.3,21000,30900,CREAM PEARL,ROUND,2,7.28,910,356,35962,455,45961,
970,PD1285A,PD1285A,PENDANTS,OFFICE WEAR:CASUAL,CLASSIC,Daily Dazzle,,19.16,8.26,18KT YELLOW GOLD,2.92,2.166,4492,2058,ROUND,SI,GH,7,0.15,10500,15450,CREAM PEARL,ROUND,1,3.62,452,175,17677,225,22677,
971,ER1515A,ER1515A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Irresistible Illusions:Glitz & Gold,,12,8,18KT YELLOW GOLD,2.21,2.14,4439,2033,ROUND,SI,GH,54,0.35,24500,36050,,,0,0,0,310,31282,425,42947,
972,PD1515A,PD1515A,PENDANTS,CASUAL,CLASSIC,Daily Dazzle:Irresistible Illusions:Glitz & Gold,,15.8,15.8,18KT YELLOW GOLD,2.35,2.294,4758,2179,ROUND,SI,GH,45,0.28,19600,28840,,,0,0,0,265,26802,358,36135,
973,ER1530A,ER1530A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold:Floral Fantasy,,24.06,10.84,18KT PINK GOLD,4.95,4.866,10093,4136,ROUND,SI,GH,70,0.42,29400,43260,,,0,0,0,436,44065,575,58064,
974,PD1530A,PD1530A,PENDANTS,FLORAL:FASHION,CLASSIC,Candid Celebrations:Glitz & Gold:Floral Fantasy,,41.37,21.74,18KT PINK GOLD,4.81,4.7,9748,3995,ROUND,SI,GH,67,0.55,38500,56650,,,0,0,0,522,52765,704,71097,
975,ER1538A,ER1538A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Glitz & Gold:Symmetric Splendour,,17.36,11.72,18KT PINK GOLD,4.26,4.224,8761,3590,ROUND,SI,GH,38,0.18,12600,18540,,,0,0,0,250,25201,309,31200,
976,PD1538A,PD1538A,PENDANTS,FASHION,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,36.49,24.86,18KT PINK GOLD,6.26,6.174,12805,5248,ROUND,SI,GH,90,0.43,30100,44290,,,0,0,0,482,48635,623,62966,
977,ER1344A,ER1344A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,35,15.5,18KT PINK GOLD,8.2,8.082,16763,6062,ROUND,SI,GH,96,0.59,41300,60770,,,0,0,0,641,64766,836,84431,
978,ER1511A,ER1511A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,46,18,18KT YELLOW GOLD,12.42,8.924,18509,6693,ROUND,SI,GH,156,0.83,58100,85490,"RHODOLITE,CREAM PEARL,CREAM PEARL","PEAR,ROUND,ROUND",8,16.65,3792,871,87965,1145,115629,
979,ER1384C,ER1384C,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Romancing Rocks:Daily Dazzle,,16.3,9,18KT PINK GOLD,3.84,3.692,7658,3138,ROUND,SI,GH,50,0.26,18200,26780,AMETHYST,ROUND,2,0.48,1440,304,30740,390,39406,
980,ER1340A,ER1340A,EARRINGS,CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold,,39,13.4,18KT PINK GOLD,6.59,6.474,13428,5503,ROUND,SI,GH,142,0.58,40600,59740,,,0,0,0,595,60126,787,79458,
981,ER1426A,ER1426A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Floral Fantasy,,41.21,17.45,18KT PINK GOLD,8.26,7.986,16564,5990,ROUND,SI,GH,132,0.89,62300,91670,AMETHYST,ROUND,2,0.48,1440,863,87157,1157,116821,
982,ER1364C,ER1364C,EARRINGS,STUDS/DROPS,CLASSIC,Floral Fantasy:Daily Dazzle:Glitz & Gold,,12.5,12.5,18KT PINK GOLD,4.66,4.558,9454,3874,ROUND,SI,GH,128,0.51,35700,52530,,,0,0,0,490,49518,659,66517,
983,ER1524A,ER1524A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,26.68,18.41,18KT YELLOW GOLD,8.56,8.278,17169,6208,ROUND,SI,GH,150,0.97,67900,99910,SWAROVSKI GREEN,ROUND,30,0.44,1500,928,93705,1248,126035,
984,PD1524A,PD1524A,PENDANTS,FASHION,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,34.47,24.17,18KT YELLOW GOLD,6.31,5.968,12378,5073,ROUND,SI,GH,123,0.74,51800,76220,SWAROVSKI GREEN,ROUND,51,0.97,2550,718,72519,962,97183,
985,ER1516A,ER1516A,EARRINGS,STUDS/DROPS,CLASSIC,Drops & Domes:Floral Fantasy,,25.8,13.45,18KT YELLOW GOLD,5.86,5.122,10623,4354,ROUND,SI,GH,54,0.65,45500,66950,CREAM PEARL,ROUND,2,3.04,456,609,61542,824,83207,
986,PD1516A,PD1516A,PENDANTS,FASHION,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold,,35.96,20.83,18KT YELLOW GOLD,5.7,4.836,10030,4111,ROUND,SI,GH,70,0.67,46900,69010,CREAM PEARL,ROUND,1,3.65,456,615,62112,836,84443,
987,ER1239A,ER1239A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Irresistible Illusions:Romancing Rocks,,13.9,7.5,18KT YELLOW GOLD,5.06,4.71,9769,4004,ROUND,SI,GH,14,0.51,35700,52530,RAINFOREST GREEN TOPAZ,PRINCESS,2,1.24,2480,520,52473,688,69471,
988,PD1239A,PD1239A,PENDANTS,CASUAL:OFFICE WEAR,CLASSIC,Daily Dazzle:Irresistible Illusions:Romancing Rocks,,17.23,8.6,18KT YELLOW GOLD,5.03,4.672,9690,3971,ROUND,SI,GH,7,0.53,39220,55650,RAINFOREST GREEN TOPAZ,PRINCESS,1,1.26,1260,541,54682,706,71277,
989,ER1384B,ER1384B,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Daily Dazzle,,16.3,9,18KT WHITE GOLD,3.75,3.578,7421,3041,ROUND,SI,GH,50,0.26,18200,26780,RAINFOREST GREEN TOPAZ,ROUND,2,0.6,1800,305,30767,390,39432,
990,ER1395A,ER1395A,EARRINGS,CHANDELIERS,EXCLUSIVE,Daily Dazzle:Drops & Domes:Black Beauty:Symmetric Splendour,,29.13,11.07,18KT WHITE GOLD,4.53,4.336,8993,3686,ROUND,SI,GH,44,0.47,32900,48410,BLACK SPINEL,ROUND,38,0.5,1900,475,47954,630,63619,
991,ER1438A,ER1438A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Black Beauty,,18.4,11.9,18KT WHITE GOLD,4.64,4.464,9259,3794,ROUND,SI,GH,58,0.45,31500,46350,BLACK SPINEL,ROUND,48,0.43,2400,470,47423,618,62421,
992,ER1434A,ER1434A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Black Beauty:Floral Fantasy,,27.48,15.41,18KT WHITE GOLD,6.03,5.714,11851,4857,ROUND,SI,GH,112,0.64,44800,65920,BLACK SPINEL,ROUND,82,0.94,4100,656,66264,867,87595,
993,ER1492A,ER1492A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Black Beauty,,21.5,20.7,18KT WHITE GOLD,4.24,4.074,8450,3463,ROUND,SI,GH,90,0.46,32200,47380,BLACK SPINEL,ROUND,36,0.37,1800,459,46372,611,61704,
994,ER1391A,ER1391A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,29,17,18KT PINK GOLD,4.05,3.95,8193,3358,ROUND,SI,GH,18,0.5,35000,51500,,,0,0,0,466,47017,631,63682,
995,ER1512A,ER1512A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,28.5,12.5,18KT YELLOW GOLD,8.53,6.812,14129,5790,ROUND,SI,GH,162,0.85,59500,87550,"AMETHYST,CREAM PEARL","OVAL,ROUND",4,7.74,2486,819,82724,1100,111055,
996,ER1035A,ER1035A,EARRINGS,BAALIS/HUGGIES:STUDS/DROPS,CLASSIC,Daily Dazzle:Drops & Domes:Floral Fantasy,,23,7.5,18KT YELLOW GOLD,3.71,3.564,7392,3029,ROUND,SI,GH,38,0.73,51100,75190,,,0,0,0,615,62136,856,86467,
997,ER1350A,ER1350A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,46.69,12.91,18KT YELLOW GOLD,8.29,8.216,17041,6162,ROUND,SI,GH,54,0.37,25900,38110,,,0,0,0,491,49594,613,61926,
998,ER1118A,ER1118A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,41,19.2,18KT YELLOW GOLD,9.65,8.584,17804,6438,ROUND,SI,GH,144,0.91,63700,93730,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ","OVAL,OVAL",18,4.42,8390,963,97295,1264,127626,
999,ER1503A,ER1503A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Glitz & Gold,,26.8,10.9,18KT YELLOW GOLD,4.87,4.798,9951,4078,ROUND,SI,GH,46,0.36,25200,37080,,,0,0,0,392,39621,511,51620,
1000,ER1189A,ER1189A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,14.7,2.9,18KT YELLOW GOLD,3.91,3.554,7371,3021,ROUND,SI,GH,96,0.55,38500,56650,RHODOLITE,OVAL,2,1.23,3075,520,52487,701,70818,
1001,ER1513A,ER1513A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,16,12.4,18KT YELLOW GOLD,3.89,3.622,7512,3079,ROUND,SI,GH,96,0.54,37800,55620,RAINFOREST GREEN TOPAZ,PEAR,2,0.8,2400,508,51299,686,69297,
1002,ER1184A,ER1184A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Drops & Domes:Floral Fantasy,,29.6,8,18KT YELLOW GOLD,5.05,3.512,7284,2985,ROUND,SI,GH,12,0.41,28700,42230,CREAM PEARL,ROUND,2,7.28,910,399,40278,534,53943,
