sku,grade,size,quantity
ER1113A,SI-GH,,BANGALORE=1
ER1114A,SI-GH,,BANGALORE=1
ER1117A,SI-GH,,BANGALORE=1
ER1118A,SI-GH,,BANGALORE=1
ER1119A,SI-GH,,BANGALORE=1
ER1120A,SI-GH,,BANGALORE=1
ER1121A,SI-GH,,BANGALORE=1
ER1123A,SI-GH,,BANGALORE=1
ER1125A,SI-GH,,BANGALORE=1
ER1126A,SI-GH,,BANGALORE=1
ER1132A,SI-GH,,BANGALORE=1
ER1134A,SI-GH,,BANGALORE=1
ER1137A,SI-GH,,BANGALORE=1
ER1138A,SI-GH,,BANGALORE=1
ER1139A,SI-GH,,BANGALORE=1
ER1143A,SI-GH,,BANGALORE=1
ER1144A,SI-GH,,BANGALORE=1
ER1145A,SI-GH,,BANGALORE=1
ER1149A,SI-GH,,BANGALORE=1
ER1151A,SI-GH,,BANGALORE=1
ER1153A,SI-GH,,BANGALORE=1
ER1154A,SI-GH,,BANGALORE=1
ER1155A,SI-GH,,BANGALORE=1
ER1158A,SI-GH,,BANGALORE=1
ER1161A,SI-GH,,BANGALORE=1
ER1162A,SI-GH,,BANGALORE=1
ER1164A,SI-GH,,BANGALORE=1
ER1171A,SI-GH,,BANGALORE=1
ER1172A,SI-GH,,BANGALORE=1
ER1173A,SI-GH,,BANGALORE=1
ER1175A,SI-GH,,BANGALORE=1
ER1178A,SI-GH,,BANGALORE=1
ER1179A,SI-GH,,BANGALORE=1
ER1182A,SI-GH,,BANGALORE=1
ER1183A,SI-GH,,BANGALORE=1
ER1185A,SI-GH,,BANGALORE=1
ER1187A,SI-GH,,BANGALORE=1
ER1190A,SI-GH,,BANGALORE=1
ER1192A,SI-GH,,BANGALORE=1
ER1199A,SI-GH,,BANGALORE=1
ER1200A,SI-GH,,BANGALORE=1
ER1201A,SI-GH,,BANGALORE=1
ER1207A,SI-GH,,BANGALORE=1
ER1208A,SI-GH,,BANGALORE=1
ER1212A,SI-GH,,BANGALORE=1
PD1207A,SI-GH,,BANGALORE=1
PD1208A,SI-GH,,BANGALORE=1
ER1220A,SI-GH,,BANGALORE=1
ER1222A,SI-GH,,BANGALORE=1
PD1212A,SI-GH,,BANGALORE=1
PD1213A,SI-GH,,BANGALORE=1
ER1225A,SI-GH,,BANGALORE=1
ER1226A,SI-GH,,BANGALORE=1
ER1227A,SI-GH,,BANGALORE=1
ER1229A,SI-GH,,BANGALORE=1
ER1230A,SI-GH,,BANGALORE=1
PD1220A,SI-GH,,BANGALORE=1
ER1231A,SI-GH,,BANGALORE=1
ER1232A,SI-GH,,BANGALORE=1
ER1233A,SI-GH,,BANGALORE=1
PD1222A,SI-GH,,BANGALORE=1
ER1235A,SI-GH,,BANGALORE=1
PD1225A,SI-GH,,BANGALORE=1
ER1236A,SI-GH,,BANGALORE=1
PD1226A,SI-GH,,BANGALORE=1
PD1227A,SI-GH,,BANGALORE=1
ER1239A,SI-GH,,BANGALORE=1
PD1229A,SI-GH,,BANGALORE=1
PD1230A,SI-GH,,BANGALORE=1
ER1241A,SI-GH,,BANGALORE=1
ER1242A,SI-GH,,BANGALORE=1
PD1231A,SI-GH,,BANGALORE=1
PD1232A,SI-GH,,BANGALORE=1
ER1243A,SI-GH,,BANGALORE=1
ER1244A,SI-GH,,BANGALORE=1
PD1233A,SI-GH,,BANGALORE=1
ER1245A,SI-GH,,BANGALORE=1
PD1235A,SI-GH,,BANGALORE=1
PD1236A,SI-GH,,BANGALORE=1
